,Datetime,Position,price,mult
196,2013-07-22 11:10:00,-5,3650.98,10
197,2013-07-24 09:40:00,5,3684.934,10
198,2013-07-26 09:10:00,-5,3656.326,10
199,2013-07-31 11:00:00,5,3635.873,10
200,2013-07-31 11:10:00,5,3640.623,10
201,2013-08-28 14:50:00,-5,3765.726,10
202,2013-08-28 15:00:00,-6,3758.391,10
203,2013-11-01 10:10:00,6,3613.538,10
204,2013-11-01 10:30:00,7,3616.333,10
205,2013-11-14 14:30:00,-7,3604.953,10
206,2013-11-14 14:50:00,-7,3601.725,10
207,2013-11-19 15:00:00,7,3609.444,10
208,2013-11-20 09:00:00,7,3615.624,10
209,2013-11-21 13:40:00,-7,3604.558,10
210,2013-11-21 14:00:00,-7,3602.628,10
211,2013-11-26 14:00:00,7,3655.596,10
212,2013-11-26 14:10:00,7,3655.319,10
213,2013-12-10 10:30:00,-7,3708.414,10
214,2013-12-10 11:10:00,-8,3708.466,10
215,2013-12-11 15:00:00,8,3736.062,10
216,2013-12-12 09:00:00,8,3741.671,10
217,2013-12-13 09:20:00,-8,3706.103,10
218,2013-12-13 09:30:00,-8,3691.148,10
219,2014-01-02 11:20:00,8,3611.273,10
220,2014-01-02 11:30:00,8,3609.688,10
221,2014-01-03 09:20:00,-8,3583.47,10
222,2014-01-03 09:30:00,-8,3583.757,10
223,2014-01-14 13:50:00,8,3513.065,10
224,2014-01-14 14:40:00,7,3513.152,10
225,2014-01-16 14:50:00,-7,3505.257,10
226,2014-01-17 10:00:00,-7,3482.498,10
227,2014-01-24 14:50:00,7,3511.345,10
228,2014-01-24 15:00:00,7,3511.034,10
229,2014-02-07 10:10:00,-7,3447.731,10
230,2014-02-07 10:40:00,-7,3445.507,10
231,2014-02-10 14:40:00,7,3459.93,10
232,2014-02-17 11:10:00,7,3476.348,10
233,2014-02-20 10:40:00,-7,3443.019,10
234,2014-02-20 14:10:00,-7,3441.009,10
235,2014-03-25 10:00:00,7,3237.127,10
236,2014-03-25 10:10:00,5,3249.7790000000005,10
237,2014-04-16 10:40:00,-5,3334.625,10
238,2014-04-16 10:50:00,-5,3336.543,10
239,2014-04-29 14:50:00,5,3256.563,10
240,2014-05-07 15:00:00,-6,3193.918,10
241,2014-05-12 11:10:00,6,3186.18,10
242,2014-05-12 13:40:00,6,3183.35,10
243,2014-05-15 14:10:00,-6,3140.843,10
244,2014-05-15 14:20:00,-6,3146.635,10
245,2014-05-26 09:20:00,6,3116.657,10
246,2014-05-26 09:30:00,6,3123.636,10
247,2014-05-30 10:00:00,-6,3077.0369,10
248,2014-05-30 10:10:00,-6,3074.053,10
249,2014-06-13 11:30:00,6,3048.06,10
250,2014-06-13 13:30:00,7,3048.555,10
251,2014-07-18 14:10:00,-7,3088.975,10
252,2014-07-18 14:20:00,-8,3088.92,10
253,2014-07-28 13:50:00,8,3072.292,10
254,2014-07-28 14:00:00,8,3074.513,10
255,2014-08-11 15:00:00,-8,3070.18,10
256,2014-08-12 01:00:00,-8,3066.718,10
257,2014-10-13 09:10:00,8,2663.025,10
258,2014-10-13 09:20:00,6,2650.669000000001,10
259,2014-10-22 11:30:00,-6,2585.043,10
260,2014-10-22 13:30:00,-5,2585.67,10
261,2014-10-29 14:50:00,5,2609.255,10
262,2014-10-29 15:00:00,6,2612.583,10
263,2014-11-04 01:00:00,-6,2560.236,10
264,2014-11-05 15:00:00,-6,2536.7199,10
265,2014-11-10 10:10:00,6,2587.667,10
266,2014-11-10 10:30:00,6,2591.884,10
267,2014-11-13 09:30:00,-6,2548.306,10
268,2014-11-13 09:40:00,-6,2546.458,10
269,2014-11-27 14:30:00,6,2480.594,10
270,2014-11-27 14:40:00,7,2509.803,10
271,2014-12-16 14:10:00,-7,2540.225,10
272,2014-12-16 14:20:00,-6,2541.514,10
273,2014-12-29 09:10:00,6,2511.812,10
274,2014-12-29 09:20:00,7,2512.347,10
275,2015-01-09 11:20:00,-7,2556.127,10
276,2015-01-12 02:30:00,6,2584.425,10
277,2015-01-12 09:10:00,-6,2532.426,10
278,2015-01-12 09:20:00,-6,2533.858,10
279,2015-01-27 04:10:00,6,2482.913,10
280,2015-01-27 04:20:00,7,2482.913,10
281,2015-02-01 04:10:00,-7,2483.399,10
282,2015-02-01 04:20:00,-7,2483.399,10
283,2015-02-04 04:10:00,7,2515.759,10
284,2015-02-04 04:20:00,7,2515.756,10
285,2015-02-09 10:10:00,-7,2496.869,10
286,2015-02-09 10:30:00,-8,2496.864,10
287,2015-02-13 10:50:00,8,2521.813,10
288,2015-02-13 11:00:00,8,2523.7960000000007,10
289,2015-02-14 04:10:00,-8,2509.405,10
290,2015-02-14 04:20:00,-8,2509.405,10
291,2015-02-16 09:10:00,8,2554.14,10
292,2015-02-16 09:20:00,9,2553.072,10
293,2015-02-25 09:40:00,-9,2510.86,10
294,2015-02-25 09:50:00,-8,2508.876,10
295,2015-02-26 04:10:00,8,2542.661,10
296,2015-02-26 04:20:00,8,2542.661,10
297,2015-02-27 14:50:00,-8,2506.966,10
298,2015-02-27 15:00:00,-8,2498.764,10
299,2015-02-28 04:10:00,8,2532.655,10
300,2015-02-28 04:20:00,8,2532.666,10
301,2015-03-02 09:20:00,-8,2477.436,10
302,2015-03-02 09:40:00,-8,2480.708,10
303,2015-03-07 04:10:00,8,2487.3720000000008,10
304,2015-03-07 04:20:00,7,2487.3720000000008,10
305,2015-03-10 14:10:00,-7,2409.123,10
306,2015-03-10 14:20:00,-7,2410.015,10
307,2015-03-11 04:10:00,7,2444.111,10
308,2015-03-11 04:20:00,7,2444.103,10
309,2015-03-15 04:10:00,-7,2420.799,10
310,2015-03-15 04:20:00,-7,2420.799,10
311,2015-03-16 13:40:00,7,2471.294,10
312,2015-03-16 13:50:00,7,2473.078,10
313,2015-03-17 04:10:00,-7,2452.109,10
314,2015-03-17 04:20:00,-7,2452.1220000000008,10
315,2015-03-23 09:10:00,7,2502.805,10
316,2015-03-23 09:20:00,7,2507.75,10
317,2015-03-24 04:10:00,-7,2471.1909,10
318,2015-03-24 04:20:00,-7,2471.157,10
319,2015-04-13 14:30:00,7,2302.763,10
320,2015-04-13 14:40:00,6,2318.016,10
321,2015-04-14 04:10:00,-6,2280.447,10
322,2015-04-14 04:20:00,-6,2280.478,10
323,2015-04-16 04:10:00,6,2323.051,10
324,2015-04-16 04:20:00,5,2323.016,10
325,2015-04-20 13:40:00,-5,2290.862,10
326,2015-04-20 13:50:00,-6,2285.939,10
327,2015-04-22 11:20:00,6,2305.607,10
328,2015-04-22 11:30:00,6,2312.731,10
329,2015-04-23 04:10:00,-6,2286.718,10
330,2015-04-23 04:20:00,-6,2286.762,10
331,2015-04-24 02:50:00,6,2347.967,10
332,2015-04-24 03:00:00,6,2349.025,10
333,2015-04-29 14:20:00,-6,2345.319,10
334,2015-04-29 14:30:00,-5,2344.4210000000007,10
335,2015-04-30 04:10:00,5,2401.08,10
336,2015-04-30 04:20:00,5,2400.939,10
337,2015-05-05 04:10:00,-5,2370.957000000001,10
338,2015-05-05 04:20:00,-5,2370.878,10
339,2015-05-13 04:10:00,5,2418.987,10
340,2015-05-13 04:20:00,5,2418.789,10
341,2015-05-14 09:30:00,-5,2363.917,10
342,2015-05-14 10:10:00,-5,2365.683,10
343,2015-05-19 04:10:00,5,2371.856,10
344,2015-05-19 04:20:00,6,2371.856,10
345,2015-05-20 09:10:00,-6,2331.151,10
346,2015-05-20 09:20:00,-6,2328.851,10
347,2015-05-21 11:20:00,6,2347.805,10
348,2015-05-21 11:30:00,6,2347.925,10
349,2015-05-30 04:10:00,-6,2362.0279,10
350,2015-05-30 04:20:00,-7,2361.886,10
351,2015-06-01 14:40:00,7,2384.411,10
352,2015-06-01 14:50:00,7,2393.4989,10
353,2015-06-03 09:50:00,-7,2370.647,10
354,2015-06-03 10:00:00,-7,2371.68,10
355,2015-06-04 04:10:00,7,2380.085,10
356,2015-06-04 04:20:00,7,2380.053,10
357,2015-06-05 10:50:00,-7,2350.359,10
358,2015-06-05 11:00:00,-7,2349.034,10
359,2015-06-09 09:40:00,7,2358.213,10
360,2015-06-09 09:50:00,8,2361.841,10
361,2015-06-12 02:10:00,-8,2346.511,10
362,2015-06-12 02:20:00,-8,2343.541,10
363,2015-06-28 04:10:00,8,2253.108,10
364,2015-06-28 04:20:00,8,2252.889,10
365,2015-06-29 14:30:00,-8,2216.209,10
366,2015-06-29 14:40:00,-8,2208.963,10
367,2015-07-04 04:10:00,8,2158.134,10
368,2015-07-04 04:20:00,6,2157.7979,10
369,2015-07-06 01:40:00,-6,2128.536,10
370,2015-07-06 01:50:00,-6,2121.631,10
371,2015-07-09 10:30:00,6,2019.344,10
372,2015-07-09 13:40:00,5,2028.562,10
373,2015-07-12 04:10:00,-5,1983.752,10
374,2015-07-12 04:20:00,-4,1983.31,10
375,2015-07-20 09:10:00,4,2077.7270000000008,10
376,2015-07-20 09:20:00,5,2076.9229,10
377,2015-07-22 13:50:00,-5,2025.594,10
378,2015-07-22 14:00:00,-4,2019.336,10
379,2015-07-27 03:30:00,4,2065.1020000000008,10
380,2015-07-27 03:40:00,5,2064.361,10
381,2015-08-06 09:30:00,-5,2082.327,10
382,2015-08-06 09:40:00,-5,2082.428,10
383,2015-08-11 03:50:00,5,2075.207000000001,10
384,2015-08-11 04:10:00,6,2075.839,10
385,2015-08-17 09:50:00,-6,2073.139,10
386,2015-08-17 10:00:00,-7,2067.637,10
387,2015-09-16 03:10:00,7,1939.738,10
388,2015-09-16 03:40:00,7,1938.4,10
389,2015-09-21 09:50:00,-7,1912.695,10
390,2015-09-21 10:00:00,-8,1915.309,10
391,2015-10-27 10:50:00,8,1814.548,10
392,2015-10-27 11:00:00,10,1809.006,10
393,2015-10-28 10:40:00,-10,1792.1529999999998,10
394,2015-10-28 10:50:00,-10,1794.14,10
395,2015-11-02 10:10:00,10,1795.95,10
396,2015-11-02 10:30:00,12,1797.954,10
397,2015-11-03 01:40:00,-12,1783.6629999999998,10
398,2015-11-03 01:50:00,-12,1782.196,10
399,2015-11-06 11:10:00,12,1786.496,10
400,2015-11-06 11:20:00,12,1794.441,10
401,2015-11-10 14:30:00,-12,1785.812,10
402,2015-11-11 03:10:00,-13,1780.339,10
403,2015-11-25 04:40:00,13,1695.4820000000002,10
404,2015-11-26 13:30:00,10,1698.45,10
405,2015-11-30 10:40:00,-10,1625.037,10
406,2015-11-30 10:50:00,-10,1625.251,10
407,2015-12-02 02:10:00,10,1651.9070000000004,10
408,2015-12-02 02:30:00,9,1652.365,10
409,2015-12-08 04:30:00,-9,1645.48,10
410,2015-12-08 04:50:00,-9,1644.542,10
411,2015-12-14 11:30:00,9,1661.2620000000004,10
412,2015-12-14 13:30:00,10,1661.914,10
413,2015-12-28 09:30:00,-10,1728.715,10
414,2015-12-28 09:40:00,-9,1729.6570000000004,10
415,2015-12-29 01:10:00,9,1753.693,10
416,2015-12-29 01:20:00,8,1757.023,10
417,2016-01-04 14:20:00,-8,1786.832,10
418,2016-01-04 14:30:00,-8,1780.29,10
419,2016-01-14 14:50:00,8,1757.713,10
420,2016-01-14 15:00:00,8,1758.746,10
421,2016-01-28 09:20:00,-8,1842.131,10
422,2016-01-28 11:10:00,-8,1842.438,10
423,2016-02-01 03:10:00,8,1838.56,10
424,2016-02-01 09:00:00,8,1835.798,10
425,2016-02-05 11:30:00,-8,1831.887,10
426,2016-02-05 13:30:00,-8,1831.866,10
427,2016-02-15 10:50:00,8,1855.812,10
428,2016-02-15 11:00:00,8,1857.309,10
429,2016-03-08 10:10:00,-8,2110.449,10
430,2016-03-08 10:30:00,-6,2142.53,10
431,2016-03-10 04:20:00,6,2169.443,10
432,2016-03-17 09:20:00,4,2073.3739,10
433,2016-03-24 04:10:00,-4,2159.263,10
434,2016-03-24 04:20:00,-4,2149.251,10
435,2016-03-25 14:50:00,4,2196.116,10
436,2016-03-25 15:00:00,4,2210.551,10
437,2016-03-28 15:00:00,-4,2160.8649,10
438,2016-03-29 01:00:00,-4,2165.65,10
439,2016-04-01 14:30:00,4,2195.906,10
440,2016-04-01 14:50:00,4,2195.283,10
441,2016-04-05 09:40:00,-4,2163.52,10
442,2016-04-05 09:50:00,-4,2171.138,10
443,2016-04-11 01:50:00,4,2242.131,10
444,2016-04-11 02:00:00,4,2241.2579,10
445,2016-04-26 14:30:00,-4,2524.542,10
446,2016-04-26 14:40:00,-3,2532.437,10
447,2016-05-27 14:10:00,3,2022.041,10
448,2016-05-27 14:30:00,3,2028.505,10
449,2016-05-30 09:10:00,-3,1944.03,10
450,2016-05-30 09:20:00,-3,1942.309,10
451,2016-06-06 11:30:00,3,2057.029,10
452,2016-06-06 13:30:00,3,2070.18,10
453,2016-06-14 14:10:00,-3,2072.3829,10
454,2016-06-14 15:00:00,-3,2066.904,10
